imei,slno,lon,lat
1,1,76.2889074,10.0610721
1,2,76.29033,10.05853
1,3,76.29198,10.05546
1,4,76.2922,10.05464
1,5,76.29105,10.05712
1,6,76.2895,10.05996
1,7,76.28919,10.06049
1,8,76.2886,10.06156
1,9,76.28891,10.06174
1,10,76.28909,10.06183
1,11,76.29385,10.0638
1,12,76.29442,10.06406
1,13,76.29834,10.06656
1,14,76.29837,10.06659
1,15,76.29871,10.06686
1,16,76.30167,10.06898
1,17,76.30181,10.06905
1,18,76.30206,10.06915
1,19,76.30537,10.06963
1,20,76.30547,10.06963
1,21,76.30584,10.06958
1,22,76.30973,10.06855
1,23,76.30984,10.06853
1,24,76.31199,10.06853
1,25,76.31211,10.06856
1,26,76.31238,10.06861
1,27,76.31526,10.06983
1,28,76.3157,10.07013
1,29,76.31792,10.07102
1,30,76.31819,10.07102
1,31,76.31853,10.07101
1,32,76.31867,10.07099
1,33,76.31882,10.07097
1,34,76.31896,10.07094
1,35,76.31912,10.0709
1,36,76.3193,10.07085
1,37,76.31958,10.07074
1,38,76.31985,10.07061
1,39,76.32006,10.07049
1,40,76.32044,10.07026
1,41,76.32049,10.07022
1,42,76.32054,10.07019
1,43,76.32085,10.06993
1,44,76.32099,10.06981
1,45,76.32122,10.06956
1,46,76.32144,10.06928
1,47,76.3216,10.06907
1,48,76.32181,10.06873
1,49,76.32196,10.06849
1,50,76.32204,10.06835
1,51,76.32207,10.06828
1,52,76.32253,10.06753
1,53,76.32271,10.06729
1,54,76.32297,10.06695
1,55,76.32316,10.06674
1,56,76.32332,10.06659
1,57,76.3235,10.06645
1,58,76.32363,10.06636
1,59,76.32443,10.06589
1,60,76.32482,10.06565
1,61,76.32542,10.06525
1,62,76.32591,10.06494
1,63,76.3259054,10.0649382
1,64,76.32594,10.06494
1,65,76.32597,10.06493
1,66,76.32614,10.06484
1,67,76.32619,10.06482
1,68,76.32625,10.0648
1,69,76.32761,10.06598
1,70,76.32808,10.06654
1,71,76.32885,10.06757
1,72,76.32892,10.06766
1,73,76.32897,10.06772
1,74,76.32905,10.06783
1,75,76.32927,10.0681
1,76,76.32935,10.06819
1,77,76.33849,10.07801
1,78,76.3384,10.07777
1,79,76.33826,10.07748
1,80,76.33161,10.0703
1,81,76.33111,10.06984
1,82,76.32687,10.06472
1,83,76.32678,10.06459
1,84,76.3267771,10.0645878
2,1,76.30849,10.02408
2,2,76.30848,10.02407
2,3,76.3084772,10.0240745
2,4,76.30894,10.02351
2,5,76.30915,10.02325
2,6,76.31073,10.01974
2,7,76.31079,10.01938
2,8,76.31081,10.01924
2,9,76.3108092,10.0192441
2,10,76.31069,10.01923
2,11,76.31066,10.01942
2,12,76.31061,10.01975
2,13,76.3105,10.02025
2,14,76.31034,10.02078
2,15,76.31024,10.02109
2,16,76.31012,10.0214
2,17,76.31006,10.02154
2,18,76.30999,10.02169
2,19,76.30979,10.02209
2,20,76.30964,10.02234
2,21,76.30951,10.02254
2,22,76.30948,10.02259
2,23,76.30925,10.02291
2,24,76.30848,10.02387
2,25,76.30826,10.02412
2,26,76.30579,10.02736
2,27,76.30567,10.02773
2,28,76.30556,10.02817
2,29,76.30549,10.02841
2,30,76.3055,10.02849
2,31,76.30548,10.02859
2,32,76.30543,10.02883
2,33,76.30542,10.02886
2,34,76.30533,10.02909
2,35,76.30499,10.03062
2,36,76.30481,10.03129
2,37,76.30465,10.03186
2,38,76.30458,10.03212
2,39,76.30449,10.0324
2,40,76.3044,10.03264
2,41,76.30433,10.03275
2,42,76.30431,10.0328
2,43,76.30429,10.03284
2,44,76.30426,10.03289
2,45,76.30414,10.03315
2,46,76.304,10.03342
2,47,76.30311,10.03521
2,48,76.30309,10.03525
2,49,76.30255,10.03633
2,50,76.30203,10.03738
2,51,76.30149,10.03835
2,52,76.30116,10.03901
2,53,76.30113,10.03908
2,54,76.30109,10.03914
2,55,76.30084,10.03966
2,56,76.29312,10.05269
2,57,76.29308,10.05277
2,58,76.29289,10.05331
2,59,76.2928,10.05353
2,60,76.29251,10.05415
2,61,76.28638,10.06837
2,62,76.28637,10.06839
2,63,76.28617,10.06861
2,64,76.27129,10.08173
2,65,76.2712911,10.0817341
3,1,76.3459764,10.1066537
3,2,76.34584,10.10661
3,3,76.34582,10.1066
3,4,76.34581,10.10659
3,5,76.3458,10.10658
3,6,76.34579,10.10657
3,7,76.34579,10.10655
3,8,76.34578,10.10653
3,9,76.34578,10.1065
3,10,76.34578,10.1063
3,11,76.34577,10.10628
3,12,76.34577,10.10626
3,13,76.34575,10.10623
3,14,76.34575,10.10622
3,15,76.34574,10.10621
3,16,76.34572,10.1062
3,17,76.34567,10.10616
3,18,76.34519,10.10587
3,19,76.3451913,10.105866
3,20,76.34541,10.10558
3,21,76.3455,10.10547
3,22,76.34564,10.1053
3,23,76.34573,10.10524
3,24,76.34579,10.1052
3,25,76.34583,10.10519
3,26,76.34586,10.10518
3,27,76.34593,10.10518
3,28,76.34599,10.10517
3,29,76.34607,10.10517
3,30,76.34623,10.10518
3,31,76.34631,10.10519
3,32,76.34638,10.10519
3,33,76.3465,10.10519
3,34,76.34654,10.1052
3,35,76.34658,10.10519
3,36,76.3467,10.10518
3,37,76.34681,10.10516
3,38,76.34698,10.10511
3,39,76.3472,10.10508
3,40,76.34743,10.10503
3,41,76.34767,10.10498
3,42,76.34792,10.10494
3,43,76.34875,10.10489
3,44,76.34888,10.10489
3,45,76.349,10.10488
3,46,76.34912,10.10488
3,47,76.34925,10.10489
3,48,76.34936,10.1049
3,49,76.34947,10.10491
3,50,76.34976,10.10495
3,51,76.3497649,10.1049482
3,52,76.34979,10.10511
3,53,76.3498,10.10525
3,54,76.34982,10.10538
3,55,76.34984,10.1058
3,56,76.34984,10.10585
3,57,76.34984,10.10605
3,58,76.34983,10.10632
3,59,76.34982,10.10657
3,60,76.34979,10.10684
3,61,76.34979,10.10697
3,62,76.34976,10.10712
3,63,76.34976,10.10713
3,64,76.34973,10.10726
3,65,76.34971,10.10738
3,66,76.34956,10.10806
3,67,76.34952,10.10821
3,68,76.34937,10.10893
3,69,76.34932,10.10912
3,70,76.34929,10.10927
3,71,76.34925,10.10939
3,72,76.3492,10.10954
3,73,76.34905,10.10998
3,74,76.34893,10.11031
3,75,76.34883,10.11056
3,76,76.34874,10.11072
3,77,76.34871,10.1108
3,78,76.34865,10.1109
3,79,76.34845,10.11124
3,80,76.3484524,10.1112373
3,81,76.34808,10.1117
3,82,76.3471,10.11278
3,83,76.34651,10.11346
3,84,76.34626,10.11373
3,85,76.34622,10.11377
3,86,76.34619,10.1138
3,87,76.34613,10.11385
3,88,76.34601,10.11402
3,89,76.34578,10.11434
3,90,76.34563,10.11453
3,91,76.34552,10.11468
3,92,76.34538,10.11487
3,93,76.34533,10.11493
3,94,76.34522,10.1151
3,95,76.34512,10.11528
3,96,76.34503,10.11549
3,97,76.34498,10.11559
3,98,76.3449,10.11578
3,99,76.34483,10.11594
3,100,76.34467,10.11635
3,101,76.34463,10.11644
3,102,76.34458,10.11654
3,103,76.34452,10.11665
3,104,76.3441,10.11742
3,105,76.3438,10.11799
3,106,76.34362,10.11831
3,107,76.34336,10.11877
3,108,76.34313,10.11918
3,109,76.34283,10.11968
3,110,76.34261,10.11994
3,111,76.34236,10.12029
3,112,76.34151,10.12141
3,113,76.3413,10.1217
3,114,76.34119,10.12185
3,115,76.3407,10.12257
3,116,76.34069,10.12258
3,117,76.34063,10.12267
3,118,76.34031,10.12317
3,119,76.34025,10.12325
3,120,76.34019,10.12334
3,121,76.34012,10.12346
3,122,76.34008,10.12353
3,123,76.34005,10.12359
3,124,76.34001,10.1237
3,125,76.33996,10.12383
3,126,76.33993,10.1239
3,127,76.33992,10.12397
3,128,76.33991,10.12405
3,129,76.33987,10.12432
3,130,76.33987,10.12445
3,131,76.33988,10.12455
3,132,76.3399,10.12466
3,133,76.33992,10.12477
3,134,76.33996,10.12491
3,135,76.34002,10.12503
3,136,76.34007,10.12513
3,137,76.34011,10.1252
3,138,76.34015,10.12525
3,139,76.34019,10.12531
3,140,76.34035,10.12549
3,141,76.3406,10.12577
3,142,76.34158,10.12683
3,143,76.3417,10.12697
3,144,76.34194,10.1272
3,145,76.34213,10.12737
3,146,76.34261,10.12786
3,147,76.34281,10.12809
3,148,76.34332,10.12861
3,149,76.34412,10.12938
3,150,76.34415,10.12941
3,151,76.34428,10.12954
3,152,76.34443,10.12966
3,153,76.34464,10.12982
3,154,76.34476,10.1299
3,155,76.34492,10.12998
3,156,76.34508,10.13005
3,157,76.34513,10.13007
3,158,76.34523,10.13011
3,159,76.34531,10.13014
3,160,76.34533,10.13015
3,161,76.34551,10.1302
3,162,76.34567,10.13023
3,163,76.34588,10.13027
3,164,76.34617,10.1303
3,165,76.34646,10.13031
3,166,76.34651,10.13031
3,167,76.34698,10.1303
3,168,76.34734,10.13029
3,169,76.34779,10.13027
3,170,76.34813,10.13025
3,171,76.34872,10.13021
3,172,76.3491,10.13019
3,173,76.34943,10.13018
3,174,76.35004,10.13017
3,175,76.35084,10.13012
3,176,76.35118,10.13011
3,177,76.35137,10.13012
3,178,76.35148,10.13013
3,179,76.35159,10.13016
3,180,76.35162,10.13017
3,181,76.35173,10.13022
3,182,76.35179,10.13025
3,183,76.3519,10.13031
3,184,76.35209,10.13045
3,185,76.35217,10.13052
3,186,76.35227,10.13064
3,187,76.35235,10.13074
3,188,76.35246,10.13092
3,189,76.35258,10.13115
3,190,76.3526,10.13119
3,191,76.35274,10.13147
3,192,76.35278,10.13156
3,193,76.35288,10.13179
3,194,76.35294,10.13194
3,195,76.35298,10.13206
3,196,76.35315,10.13246
3,197,76.35327,10.13278
3,198,76.35338,10.13306
3,199,76.35347,10.13332
