imei,order,lon,lat
000013612345678,1,76.2713754,10.0743391
000013612345680,1,76.23898,10.13613
000013612345681,1,76.4491131,10.025333
000013612345682,1,76.5222,10.03784
000013612345683,1,76.2294857,10.1499409
000013612345684,1,76.2669,10.09072
000013612345685,1,76.2805318,9.9755794
000013612345686,1,76.33612,10.01509
000013612345687,1,76.3166772,9.9666138
000013612345688,1,76.35657,10.02464
000013612345689,1,76.3459764,10.1066537
000013612345690,1,76.37303,10.17127
000013612345691,1,76.3112802,10.0236096
000013612345692,1,76.34225,10.01688
000013612345678,2,76.27137,10.07437
000013612345680,2,76.23905,10.13599
000013612345681,2,76.44931,10.02519
000013612345682,2,76.52219,10.03786
000013612345683,2,76.22949,10.14982
000013612345684,2,76.26688,10.09088
000013612345685,2,76.28073,9.97476
000013612345686,2,76.33575,10.0153
000013612345687,2,76.31669,9.96656
000013612345688,2,76.35654,10.02461
000013612345689,2,76.34584,10.10661
000013612345690,2,76.37291,10.17105
000013612345691,2,76.31131,10.02344
000013612345692,2,76.34231,10.01701
000013612345678,3,76.27138,10.07455
000013612345680,3,76.23908,10.13593
000013612345681,3,76.44966,10.02495
000013612345682,3,76.52217,10.03793
000013612345683,3,76.22953,10.14962
000013612345684,3,76.26687,10.09097
000013612345685,3,76.28098,9.97374
000013612345686,3,76.33567,10.01524
000013612345687,3,76.31673,9.96642
000013612345688,3,76.35607,10.02418
000013612345689,3,76.34582,10.1066
000013612345690,3,76.37279,10.17085
000013612345691,3,76.31136,10.02322
000013612345692,3,76.34241,10.01718
000013612345678,4,76.27138,10.07471
000013612345680,4,76.2392,10.1357
000013612345681,4,76.44974,10.02485
000013612345682,4,76.52216,10.03796
000013612345683,4,76.22956,10.14927
000013612345684,4,76.26681,10.09129
000013612345685,4,76.2809837,9.9737351
000013612345686,4,76.3356,10.01519
000013612345687,4,76.31675,9.96633
000013612345688,4,76.35601,10.02408
000013612345689,4,76.34581,10.10659
000013612345690,4,76.37274,10.17073
000013612345691,4,76.3113628,10.0232213
000013612345692,4,76.34245,10.01726
000013612345678,5,76.27139,10.07487
000013612345680,5,76.23934,10.1354
000013612345681,5,76.45002,10.02461
000013612345682,5,76.52215,10.03798
000013612345683,5,76.22961,10.14892
000013612345684,5,76.26675,10.09153
000013612345685,5,76.28247,9.9743
000013612345686,5,76.33533,10.01503
000013612345687,5,76.31676,9.96627
000013612345688,5,76.35594,10.02395
000013612345689,5,76.3458,10.10658
000013612345690,5,76.3727,10.17066
000013612345691,5,76.31159,10.02326
000013612345692,5,76.3425,10.01735
000013612345678,6,76.27142,10.07512
000013612345680,6,76.23956,10.13498
000013612345681,6,76.45039,10.02428
000013612345682,6,76.52214,10.03799
000013612345683,6,76.22962,10.14886
000013612345684,6,76.26669,10.09175
000013612345685,6,76.282475,9.9742951
000013612345686,6,76.33493,10.01482
000013612345687,6,76.31679,9.96618
000013612345688,6,76.35565,10.0236
000013612345689,6,76.34579,10.10657
000013612345690,6,76.37259,10.17048
000013612345691,6,76.31162,10.02327
000013612345692,6,76.34257,10.01745
000013612345678,7,76.27142,10.07515
000013612345680,7,76.23977,10.13459
000013612345681,7,76.45057,10.02411
000013612345682,7,76.52212,10.038
000013612345683,7,76.22962,10.14883
000013612345684,7,76.26658,10.0921
000013612345685,7,76.28228,9.97493
000013612345686,7,76.3343,10.01448
000013612345687,7,76.31681,9.9661
000013612345688,7,76.35519,10.02302
000013612345689,7,76.34579,10.10655
000013612345690,7,76.37244,10.17027
000013612345691,7,76.31173,10.0233
000013612345692,7,76.34268,10.01759
000013612345678,8,76.27145,10.07578
000013612345680,8,76.24005,10.13409
000013612345681,8,76.45075,10.02396
000013612345682,8,76.52208,10.03803
000013612345683,8,76.2296237,10.1488262
000013612345684,8,76.26653,10.09228
000013612345685,8,76.28222,9.97509
000013612345686,8,76.33424,10.01446
000013612345687,8,76.31684,9.96599
000013612345688,8,76.3551,10.0229
000013612345689,8,76.34578,10.10653
000013612345690,8,76.37225,10.16998
000013612345691,8,76.31181,10.02331
000013612345692,8,76.34278,10.01774
000013612345678,9,76.27147,10.07596
000013612345680,9,76.24023,10.13378
000013612345681,9,76.45091,10.02385
000013612345682,9,76.52204,10.03806
000013612345683,9,76.22964,10.14883
000013612345684,9,76.2665,10.09247
000013612345685,9,76.28219,9.97517
000013612345686,9,76.33416,10.01443
000013612345687,9,76.3168361,9.9659937
000013612345688,9,76.35503,10.02283
000013612345689,9,76.34578,10.1065
000013612345690,9,76.37218,10.16987
000013612345691,9,76.31189,10.02331
000013612345692,9,76.34286,10.01784
000013612345678,10,76.27148,10.07609
000013612345680,10,76.24038,10.13351
000013612345681,10,76.45112,10.02377
000013612345682,10,76.52197,10.03808
000013612345683,10,76.23016,10.14891
000013612345684,10,76.26648,10.09271
000013612345685,10,76.2821921,9.9751661
000013612345686,10,76.33407,10.0144
000013612345687,10,76.31708,9.96603
000013612345688,10,76.35498,10.0228
000013612345689,10,76.34578,10.1063
000013612345690,10,76.37207,10.16968
000013612345691,10,76.312,10.02329
000013612345692,10,76.34287,10.01792
000013612345678,11,76.27148,10.07627
000013612345680,11,76.24056,10.13318
000013612345681,11,76.45135,10.02371
000013612345682,11,76.5219,10.0381
000013612345683,11,76.23038,10.14893
000013612345684,11,76.26646,10.09287
000013612345685,11,76.28236,9.97515
000013612345686,11,76.334,10.01438
000013612345687,11,76.31725,9.96604
000013612345688,11,76.35492,10.02276
000013612345689,11,76.34577,10.10628
000013612345690,11,76.37198,10.16953
000013612345691,11,76.31212,10.02327
000013612345692,11,76.34293,10.01807
000013612345678,12,76.27145,10.07669
000013612345680,12,76.2407,10.13293
000013612345681,12,76.45163,10.02367
000013612345682,12,76.52186,10.03811
000013612345683,12,76.23067,10.14896
000013612345684,12,76.26645,10.09295
000013612345685,12,76.28256,9.97513
000013612345686,12,76.33383,10.01434
000013612345687,12,76.31745,9.96604
000013612345688,12,76.35488,10.02274
000013612345689,12,76.34577,10.10626
000013612345690,12,76.37188,10.16927
000013612345691,12,76.31215,10.02327
000013612345692,12,76.34298,10.01819
000013612345678,13,76.2714,10.07693
000013612345680,13,76.24095,10.13249
000013612345681,13,76.45188,10.02364
000013612345682,13,76.52184,10.03811
000013612345683,13,76.2316,10.14901
000013612345684,13,76.26643,10.09317
000013612345685,13,76.28262,9.97513
000013612345686,13,76.33354,10.01423
000013612345687,13,76.3177,9.96604
000013612345688,13,76.35445,10.0228
000013612345689,13,76.34575,10.10623
000013612345690,13,76.37177,10.16897
000013612345691,13,76.31223,10.02327
000013612345692,13,76.34304,10.01833
000013612345678,14,76.27137,10.07703
000013612345680,14,76.24097,10.13245
000013612345681,14,76.45217,10.02363
000013612345682,14,76.52179,10.03812
000013612345683,14,76.23169,10.14902
000013612345684,14,76.26642,10.09328
000013612345685,14,76.28266,9.97513
000013612345686,14,76.33321,10.01412
000013612345687,14,76.31791,9.96603
000013612345688,14,76.35439,10.0228
000013612345689,14,76.34575,10.10622
000013612345690,14,76.37171,10.16881
000013612345691,14,76.31232,10.02328
000013612345692,14,76.34314,10.01859
000013612345678,15,76.27132,10.07722
000013612345680,15,76.24106,10.13226
000013612345681,15,76.45236,10.02364
000013612345682,15,76.52176,10.03811
000013612345683,15,76.23174,10.14902
000013612345684,15,76.2664,10.09342
000013612345685,15,76.28268,9.97514
000013612345686,15,76.33303,10.01407
000013612345687,15,76.31803,9.96603
000013612345688,15,76.35434,10.02279
000013612345689,15,76.34574,10.10621
000013612345690,15,76.37161,10.16853
000013612345691,15,76.31241,10.02329
000013612345692,15,76.34317,10.01874
000013612345678,16,76.27121,10.07752
000013612345680,16,76.2413,10.13179
000013612345681,16,76.45255,10.02368
000013612345682,16,76.52173,10.0381
000013612345683,16,76.23196,10.14903
000013612345684,16,76.26636,10.09357
000013612345685,16,76.28272,9.97514
000013612345686,16,76.33286,10.01402
000013612345687,16,76.31813,9.96603
000013612345688,16,76.35432,10.02278
000013612345689,16,76.34572,10.1062
000013612345690,16,76.37153,10.16829
000013612345691,16,76.31245,10.0233
000013612345692,16,76.3432,10.01887
000013612345678,17,76.27114,10.07777
000013612345680,17,76.24153,10.13134
000013612345681,17,76.45291,10.02376
000013612345682,17,76.52169,10.03808
000013612345683,17,76.23217,10.14904
000013612345684,17,76.26631,10.09369
000013612345685,17,76.28289,9.97518
000013612345686,17,76.33259,10.01392
000013612345687,17,76.3181273,9.9660307
000013612345688,17,76.35429,10.02277
000013612345689,17,76.34567,10.10616
000013612345690,17,76.37141,10.16799
000013612345691,17,76.3125,10.0233
000013612345692,17,76.34322,10.01902
000013612345678,18,76.271,10.07832
000013612345680,18,76.24162,10.13116
000013612345681,18,76.45346,10.0239
000013612345682,18,76.52165,10.03807
000013612345683,18,76.23274,10.14907
000013612345684,18,76.26627,10.09379
000013612345685,18,76.28308,9.97523
000013612345686,18,76.33247,10.01389
000013612345687,18,76.31812,9.96609
000013612345688,18,76.35427,10.02275
000013612345689,18,76.34519,10.10587
000013612345690,18,76.37119,10.16751
000013612345691,18,76.31286,10.02339
000013612345692,18,76.34323,10.01912
000013612345678,19,76.27096,10.07847
000013612345680,19,76.24181,10.13082
000013612345681,19,76.45379,10.024
000013612345682,19,76.52162,10.03805
000013612345683,19,76.23339,10.14911
000013612345684,19,76.26617,10.09397
000013612345685,19,76.2832,9.97525
000013612345686,19,76.3323,10.01383
000013612345687,19,76.3181224,9.9660942
000013612345688,19,76.35425,10.02273
000013612345689,19,76.3451913,10.105866
000013612345690,19,76.37064,10.16636
000013612345691,19,76.3128574,10.0233854
000013612345692,19,76.34325,10.01929
000013612345678,20,76.27093,10.07859
000013612345680,20,76.24193,10.1306
000013612345681,20,76.45411,10.02408
000013612345682,20,76.52156,10.03801
000013612345683,20,76.23361,10.14912
000013612345684,20,76.26606,10.09416
000013612345685,20,76.28335,9.97529
000013612345686,20,76.33192,10.01369
000013612345687,20,76.3182,9.9661
000013612345688,20,76.35422,10.0227
000013612345689,20,76.34541,10.10558
000013612345690,20,76.37037,10.16585
000013612345691,20,76.31282,10.02366
000013612345692,20,76.34325,10.01939
000013612345678,21,76.27093,10.07861
000013612345680,21,76.24206,10.13035
000013612345681,21,76.45426,10.0241
000013612345682,21,76.52141,10.0379
000013612345683,21,76.2336081,10.1491202
000013612345684,21,76.26601,10.09426
000013612345685,21,76.28386,9.97542
000013612345686,21,76.33183,10.01365
000013612345687,21,76.3182,9.96655
000013612345688,21,76.3542,10.02266
000013612345689,21,76.3455,10.10547
000013612345690,21,76.37032,10.16575
000013612345691,21,76.31281,10.02379
000013612345692,21,76.34326,10.01961
000013612345678,22,76.27071,10.07925
000013612345680,22,76.24207,10.13032
000013612345681,22,76.45433,10.0241
000013612345682,22,76.52139,10.03788
000013612345683,22,76.23361,10.14867
000013612345684,22,76.26596,10.09438
000013612345685,22,76.28414,9.97548
000013612345686,22,76.33173,10.01361
000013612345687,22,76.31811,9.96749
000013612345688,22,76.35418,10.02262
000013612345689,22,76.34564,10.1053
000013612345690,22,76.37025,10.16559
000013612345691,22,76.31278,10.0239
000013612345692,22,76.34319,10.01984
000013612345678,23,76.27066,10.07939
000013612345680,23,76.24221,10.13002
000013612345681,23,76.45442,10.02409
000013612345682,23,76.52137,10.03788
000013612345683,23,76.23356,10.14824
000013612345684,23,76.26593,10.09447
000013612345685,23,76.28445,9.97555
000013612345686,23,76.33158,10.01354
000013612345687,23,76.31809,9.96829
000013612345688,23,76.35414,10.02246
000013612345689,23,76.34573,10.10524
000013612345690,23,76.37024,10.16557
000013612345691,23,76.31275,10.0241
000013612345692,23,76.34315,10.02003
000013612345678,24,76.27044,10.07998
000013612345680,24,76.24247,10.12942
000013612345681,24,76.45459,10.02404
000013612345682,24,76.52136,10.03787
000013612345683,24,76.23358,10.14807
000013612345684,24,76.2659,10.09456
000013612345685,24,76.2844511,9.9755511
000013612345686,24,76.33138,10.01347
000013612345687,24,76.31807,9.9684
000013612345688,24,76.35407,10.02222
000013612345689,24,76.34579,10.1052
000013612345690,24,76.37022,10.16551
000013612345691,24,76.31274,10.02415
000013612345692,24,76.34307,10.02028
000013612345678,25,76.2702,10.08055
000013612345680,25,76.24266,10.12897
000013612345681,25,76.4548,10.02396
000013612345682,25,76.52135,10.03787
000013612345683,25,76.23358,10.14773
