imei,order,lon,lat
imei-1,1,76.2713754,10.0743391
imei-2,1,76.23898,10.13613
imei-3,1,76.4491131,10.025333
imei-4,1,76.5222,10.03784
imei-5,1,76.2294857,10.1499409
imei-6,1,76.2669,10.09072
imei-7,1,76.2805318,9.9755794
imei-8,1,76.33612,10.01509
imei-9,1,76.3166772,9.9666138
imei-10,1,76.35657,10.02464
imei-11,1,76.3459764,10.1066537
imei-12,1,76.37303,10.17127
imei-13,1,76.3112802,10.0236096
imei-14,1,76.34225,10.01688
imei-1,2,76.27137,10.07437
imei-2,2,76.23905,10.13599
imei-3,2,76.44931,10.02519
imei-4,2,76.52219,10.03786
imei-5,2,76.22949,10.14982
imei-6,2,76.26688,10.09088
imei-7,2,76.28073,9.97476
imei-8,2,76.33575,10.0153
imei-9,2,76.31669,9.96656
imei-10,2,76.35654,10.02461
imei-11,2,76.34584,10.10661
imei-12,2,76.37291,10.17105
imei-13,2,76.31131,10.02344
imei-14,2,76.34231,10.01701
imei-1,3,76.27138,10.07455
imei-2,3,76.23908,10.13593
imei-3,3,76.44966,10.02495
imei-4,3,76.52217,10.03793
imei-5,3,76.22953,10.14962
imei-6,3,76.26687,10.09097
imei-7,3,76.28098,9.97374
imei-8,3,76.33567,10.01524
imei-9,3,76.31673,9.96642
imei-10,3,76.35607,10.02418
imei-11,3,76.34582,10.1066
imei-12,3,76.37279,10.17085
imei-13,3,76.31136,10.02322
imei-14,3,76.34241,10.01718
imei-1,4,76.27138,10.07471
imei-2,4,76.2392,10.1357
imei-3,4,76.44974,10.02485
imei-4,4,76.52216,10.03796
imei-5,4,76.22956,10.14927
imei-6,4,76.26681,10.09129
imei-7,4,76.2809837,9.9737351
imei-8,4,76.3356,10.01519
imei-9,4,76.31675,9.96633
imei-10,4,76.35601,10.02408
imei-11,4,76.34581,10.10659
imei-12,4,76.37274,10.17073
imei-13,4,76.3113628,10.0232213
imei-14,4,76.34245,10.01726
imei-1,5,76.27139,10.07487
imei-2,5,76.23934,10.1354
imei-3,5,76.45002,10.02461
imei-4,5,76.52215,10.03798
imei-5,5,76.22961,10.14892
imei-6,5,76.26675,10.09153
imei-7,5,76.28247,9.9743
imei-8,5,76.33533,10.01503
imei-9,5,76.31676,9.96627
imei-10,5,76.35594,10.02395
imei-11,5,76.3458,10.10658
imei-12,5,76.3727,10.17066
imei-13,5,76.31159,10.02326
imei-14,5,76.3425,10.01735
imei-1,6,76.27142,10.07512
imei-2,6,76.23956,10.13498
imei-3,6,76.45039,10.02428
imei-4,6,76.52214,10.03799
imei-5,6,76.22962,10.14886
imei-6,6,76.26669,10.09175
imei-7,6,76.282475,9.9742951
imei-8,6,76.33493,10.01482
imei-9,6,76.31679,9.96618
imei-10,6,76.35565,10.0236
imei-11,6,76.34579,10.10657
imei-12,6,76.37259,10.17048
imei-13,6,76.31162,10.02327
imei-14,6,76.34257,10.01745
imei-1,7,76.27142,10.07515
imei-2,7,76.23977,10.13459
imei-3,7,76.45057,10.02411
imei-4,7,76.52212,10.038
imei-5,7,76.22962,10.14883
imei-6,7,76.26658,10.0921
imei-7,7,76.28228,9.97493
imei-8,7,76.3343,10.01448
imei-9,7,76.31681,9.9661
imei-10,7,76.35519,10.02302
imei-11,7,76.34579,10.10655
imei-12,7,76.37244,10.17027
imei-13,7,76.31173,10.0233
imei-14,7,76.34268,10.01759
imei-1,8,76.27145,10.07578
imei-2,8,76.24005,10.13409
imei-3,8,76.45075,10.02396
imei-4,8,76.52208,10.03803
imei-5,8,76.2296237,10.1488262
imei-6,8,76.26653,10.09228
imei-7,8,76.28222,9.97509
imei-8,8,76.33424,10.01446
imei-9,8,76.31684,9.96599
imei-10,8,76.3551,10.0229
imei-11,8,76.34578,10.10653
imei-12,8,76.37225,10.16998
imei-13,8,76.31181,10.02331
imei-14,8,76.34278,10.01774
imei-1,9,76.27147,10.07596
imei-2,9,76.24023,10.13378
imei-3,9,76.45091,10.02385
imei-4,9,76.52204,10.03806
imei-5,9,76.22964,10.14883
imei-6,9,76.2665,10.09247
imei-7,9,76.28219,9.97517
